States,Regions,latitude,longitude,Dates,Usage,Situation,Season
Delhi,NR,28.6699929,77.23000403,2020-04-01,116.2,Covid-Lockdown,SPRING
UP,NR,27.59998069,78.05000565,2020-04-01,393.1,Covid-Lockdown,SPRING
Uttarakhand,NR,30.32040895,78.05000565,2020-04-01,38.5,Covid-Lockdown,SPRING
HP,NR,31.10002545,77.16659704,2020-04-01,28.7,Covid-Lockdown,SPRING
J&K,NR,33.45,76.24,2020-04-01,39.7,Covid-Lockdown,SPRING
Chandigarh,NR,30.71999697,76.78000565,2020-04-01,5.5,Covid-Lockdown,SPRING
Punjab,NR,31.51997398,75.98000281,2020-05-01,92.2,Covid-Lockdown,SPRING
Haryana,NR,28.45000633,77.01999101,2020-05-01,89.9,Covid-Lockdown,SPRING
Rajasthan,NR,26.44999921,74.63998124,2020-05-01,198.2,Covid-Lockdown,SPRING
Delhi,NR,28.6699929,77.23000403,2020-05-01,58.0,Covid-Lockdown,SPRING
UP,NR,27.59998069,78.05000565,2020-05-01,230.7,Covid-Lockdown,SPRING
Uttarakhand,NR,30.32040895,78.05000565,2020-05-01,31.1,Covid-Lockdown,SPRING
HP,NR,31.10002545,77.16659704,2020-05-01,26.4,Covid-Lockdown,SPRING
J&K,NR,33.45,76.24,2020-05-01,48.8,Covid-Lockdown,SPRING
Chandigarh,NR,30.71999697,76.78000565,2020-05-01,3.3,Covid-Lockdown,SPRING
Punjab,NR,31.51997398,75.98000281,2020-01-13,69.5,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-13,69.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-13,173.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-13,45.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-13,223.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-13,24.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-13,19.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-13,47.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-13,2.8,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-14,78.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-14,77.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-14,170.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-14,53.3,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-14,205.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-14,26.8,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-14,23.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-14,46.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-14,3.3,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-15,91.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-15,92.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-15,193.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-15,58.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-15,214.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-15,30.0,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-15,24.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-15,41.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-15,3.3,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-16,92.5,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-16,100.7,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-16,206.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-16,61.1,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-16,207.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-16,33.2,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-16,23.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-16,44.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-16,3.3,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-17,96.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-17,103.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-17,209.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-17,58.3,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-17,213.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-17,32.8,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-17,25.5,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-17,48.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-17,3.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-18,89.2,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-18,95.8,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-18,205.8,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-18,54.9,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-18,214.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-18,31.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-18,22.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-18,46.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-18,3.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-19,291.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-19,214.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-19,218.1,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-19,130.2,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-19,368.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-19,43.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-19,28.1,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-19,44.1,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-19,6.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-20,268.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-20,207.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-20,225.8,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-20,113.4,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-20,325.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-20,41.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-20,28.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-20,40.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-20,6.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-21,262.6,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-21,210.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-21,239.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-21,127.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-21,318.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-21,43.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-21,29.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-21,42.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-21,5.9,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-22,244.6,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-22,214.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-22,242.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-22,135.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-22,313.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-22,40.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-22,29.0,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-22,42.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-22,5.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-23,234.5,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-23,212.3,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-23,249.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-23,137.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-23,339.7,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-23,41.1,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-23,29.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-23,43.5,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-23,5.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-24,215.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-24,207.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-24,252.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-24,132.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-24,363.5,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-24,38.0,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-24,27.0,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-24,40.1,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-24,4.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-25,174.4,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-25,192.3,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-25,247.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-25,125.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-25,370.5,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-25,34.4,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-25,25.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-25,40.7,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-25,3.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-26,119.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-26,116.7,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-26,197.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-26,85.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-26,316.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-26,34.6,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-26,25.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-26,41.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-26,3.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-27,126.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-27,126.8,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-27,211.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-27,86.9,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-27,331.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-27,37.0,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-27,26.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-27,43.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-27,3.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-28,125.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-28,129.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-28,215.1,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-28,91.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-28,340.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-28,37.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-28,25.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-28,41.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-28,4.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-29,126.3,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-29,131.2,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-29,215.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-29,94.4,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-29,345.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-29,31.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-29,25.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-29,45.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-29,4.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-30,126.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-30,127.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-30,210.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-30,94.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-30,347.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-30,37.8,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-30,26.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-30,42.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-30,4.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-31,123.5,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-31,126.3,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-31,216.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-31,90.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-31,347.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-31,38.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-31,26.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-31,42.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-31,3.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-02,114.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-02,116.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-02,213.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-02,85.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-02,340.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-02,35.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-02,24.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-02,44.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-02,3.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-02,148.4,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-02,147.8,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-02,182.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-02,82.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-02,322.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-02,36.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-02,26.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-02,38.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-02,4.1,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-03-02,133.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-03-02,135.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-03-02,184.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-03-02,73.1,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-03-02,311.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-03-02,32.2,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-03-02,22.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-03-02,35.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-03-02,3.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-04-02,148.4,Covid-Lockdown,SPRING
Haryana,NR,28.45000633,77.01999101,2020-04-02,148.9,Covid-Lockdown,SPRING
Rajasthan,NR,26.44999921,74.63998124,2020-04-02,193.7,Covid-Lockdown,SPRING
Delhi,NR,28.6699929,77.23000403,2020-04-02,82.8,Covid-Lockdown,SPRING
UP,NR,27.59998069,78.05000565,2020-04-02,325.9,Covid-Lockdown,SPRING
Uttarakhand,NR,30.32040895,78.05000565,2020-04-02,35.4,Covid-Lockdown,SPRING
HP,NR,31.10002545,77.16659704,2020-04-02,25.9,Covid-Lockdown,SPRING
J&K,NR,33.45,76.24,2020-04-02,39.9,Covid-Lockdown,SPRING
Chandigarh,NR,30.71999697,76.78000565,2020-04-02,4.0,Covid-Lockdown,SPRING
Punjab,NR,31.51997398,75.98000281,2020-05-02,154.6,Covid-Lockdown,SPRING
Haryana,NR,28.45000633,77.01999101,2020-05-02,155.6,Covid-Lockdown,SPRING
Rajasthan,NR,26.44999921,74.63998124,2020-05-02,197.7,Covid-Lockdown,SPRING
Delhi,NR,28.6699929,77.23000403,2020-05-02,83.2,Covid-Lockdown,SPRING
UP,NR,27.59998069,78.05000565,2020-05-02,332.7,Covid-Lockdown,SPRING
Uttarakhand,NR,30.32040895,78.05000565,2020-05-02,35.4,Covid-Lockdown,SPRING
HP,NR,31.10002545,77.16659704,2020-05-02,27.2,Covid-Lockdown,SPRING
J&K,NR,33.45,76.24,2020-05-02,39.9,Covid-Lockdown,SPRING
Chandigarh,NR,30.71999697,76.78000565,2020-05-02,4.1,Covid-Lockdown,SPRING
Punjab,NR,31.51997398,75.98000281,2020-02-13,155.3,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-13,158.2,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-13,201.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-13,84.9,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-13,329.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-13,34.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-13,27.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-13,40.6,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-13,4.1,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-14,152.6,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-14,157.5,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-14,202.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-14,82.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-14,323.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-14,35.8,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-14,27.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-14,40.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-14,4.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-15,140.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-15,146.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-15,202.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-15,80.2,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-15,316.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-15,33.4,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-15,25.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-15,38.6,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-15,3.2,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-16,108.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-16,123.5,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-16,239.9,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-16,71.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-16,274.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-16,38.4,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-16,29.9,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-16,45.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-16,3.6,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-17,112.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-17,131.5,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-17,242.1,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-17,68.7,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-17,289.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-17,39.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-17,30.1,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-17,51.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-17,4.1,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-18,113.5,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-18,131.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-18,243.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-18,71.1,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-18,289.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-18,39.6,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-18,30.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-18,51.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-18,3.9,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-19,113.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-19,129.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-19,238.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-19,71.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-19,292.5,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-19,40.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-19,30.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-19,52.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-19,3.8,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-20,115.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-20,131.2,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-20,244.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-20,71.4,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-20,293.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-20,40.5,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-20,30.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-20,53.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-20,3.9,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-21,112.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-21,130.2,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-21,234.2,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-21,67.7,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-21,291.9,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-21,39.4,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-21,29.9,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-21,54.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-21,3.6,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-22,107.4,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-22,116.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-22,233.9,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-22,65.4,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-22,285.5,Pre-Covid,WINTER
